Title,URL,PostDate,Description,
"Upping our Prompt Game, Continued",https://mcguinnessai.substack.com/p/upping-our-prompt-game-continued,2023-05-31T04:43:09.116Z,Thinking About Prompts as Development Assets,
Things to Think About Over a Long Weekend,https://mcguinnessai.substack.com/p/things-to-think-about-over-a-long,2023-05-26T07:45:03.514Z,"Or, if you're not in the USA, on a very quiet Monday",
Upping Our Prompt Game,https://mcguinnessai.substack.com/p/upping-our-prompt-game,2023-05-25T07:19:51.777Z,Getting Some More Serious Tools For Integration,
"Nobody Goes There Anymore, It’s Too Crowded",https://mcguinnessai.substack.com/p/nobody-goes-there-anymore-its-too,2023-05-24T01:31:58.414Z,OpenAI has growing pains,
Thank you!,https://mcguinnessai.substack.com/p/thank-you,2023-05-19T18:51:48.552Z,"Thanks to each of you, I’ve crossed 100 subscribers to this newsletter! In the global scheme of things, I know that’s a very small number in comparison to a lot of other people, but consider my Total Addressable Market: There are only two things I hope for from each of you:",
Brainstorming About Brainstorming,https://mcguinnessai.substack.com/p/brainstorming-about-brainstorming,2023-05-18T22:45:47.453Z,Why Food for Thought is Better than Next Best Action,
The Goog Strikes Back,https://mcguinnessai.substack.com/p/the-goog-strikes-back,2023-05-16T07:01:51.205Z,Using Google's PaLM LLM,
Getting JSON Back From GPT,https://mcguinnessai.substack.com/p/getting-json-back-from-gpt,2023-05-11T07:01:54.741Z,Letting the Computer Know What to do Next,
Quick Update on Datapack Errors,https://mcguinnessai.substack.com/p/quick-update-on-datapacks,2023-05-10T01:00:13.085Z,"Good news for vlocity_cmt, vlocity_ins folks",
Fixing The One Glaring Problem So Far,https://mcguinnessai.substack.com/p/fixing-the-one-glaring-problem-so,2023-05-09T07:02:00.605Z,Pay off that technical now before compound interest sets in!,
The Week Ahead + A Few Notes,https://mcguinnessai.substack.com/p/the-week-ahead-a-few-notes,2023-05-08T03:36:41.667Z,"There are two big posts for this week: Switching authentication to named credentials for reasons of safety, security, and scalability. This will avoid racking up technical debt and make it easier for you to get stuff up and running. Getting our responses back from ChatGPT in a more machine intelligible fashion.",
A Quick Note on Prompt Engineering Ideas,https://mcguinnessai.substack.com/p/a-quick-note-on-prompt-engineering,2023-05-05T07:01:48.598Z,"Here’s a great post from another substack about prompt engineering tooling … In general, I recommend Ben’s substack, Gradient Flow, so take a look and see if it’s to your liking?",
Enhancing the ChatGPT Interface,https://mcguinnessai.substack.com/p/enhancing-the-chatgpt-interface,2023-05-04T07:01:22.849Z,"One button makes it taller, one button makes it small...",
GPT Sells You Life Insurance,https://mcguinnessai.substack.com/p/gpt-sells-you-life-insurance,2023-05-02T04:56:28.952Z,A surprisingly easy integration into Salesforce,
"""""AI Will Replace Coders"" is Wrong""",https://mcguinnessai.substack.com/p/ai-will-replace-coders-is-wrong,2023-05-01T07:06:19.014Z,Very clicky though,
Next's Week's Teaser,https://mcguinnessai.substack.com/p/nexts-weeks-teaser,2023-04-28T10:00:27.079Z,"When life hands you lemons, make Lemonade.com?",
A Simple OpenAI↔Salesforce Integration - 2,https://mcguinnessai.substack.com/p/a-simple-openaisalesforce-integration-70d,2023-04-27T07:01:59.646Z,"Part 2 of 2, Building the Integration",
A Simple OpenAI↔Salesforce Integration - 1,https://mcguinnessai.substack.com/p/a-simple-openaisalesforce-integration,2023-04-25T07:01:04.777Z,"Part 1 of 2, Getting Everything Ready",
Real Content Coming Soon!,https://mcguinnessai.substack.com/p/real-content-coming-soon,2023-04-21T19:50:27.469Z,Starting April 25th!,
Experimenting with AI in CRM,https://mcguinnessai.substack.com/p/experimenting-with-ai-in-crm,2023-03-19T19:26:19.518Z,Introducing this Substack,
Getting an OmniStudio Enable SF Demo Org,https://mcguinnessai.substack.com/p/getting-an-omnistudio-enable-sf-demo,2023-10-27T00:00:00.000Z,"Absent any other means of getting an OmniStudio enabled Salesforce developer or demo org, go to: https://trailhead.salesforce.com/promo/orgs/omnistudiotrails and sign up for one",
Getting a Salesforce Consumer Key and Secret,https://mcguinnessai.substack.com/p/getting-a-salesforce-consumer-key,2023-10-27T00:00:00.000Z,"If you’re building an application that connects to Salesforce, one easy way to do that is to have a consumer key and secret for your API user. Here's how to get one",
Creating a Salesforce Named Credential,https://mcguinnessai.substack.com/p/creating-a-salesforce-named-credential,2023-10-27T00:00:00.000Z,"You can embed your OpenAI API key directly into your demos, although that’s a very bad idea. A good idea is to create a Salesforce named credential to securely hold your API key.",
Getting Started with OpenAI,https://mcguinnessai.substack.com/p/getting-started-with-openai,2023-10-27T00:00:00.000Z,"Most of the demonstrations in this substack use OpenAI as the backend LLM system. To use it, you’ll need to sign up for an account with them to get an API key. ",
Using Google Colab,https://mcguinnessai.substack.com/p/using-google-colab,2023-10-27T00:00:00.000Z,Google Colab is one of those strange free things on the web that make you think “this won’t last”. It’s an environment that allows you to run Python code for free on Google’s servers without installing anything locally.,
